AppID,Name,Game price (ARS),Discount,Cheapest card price (USD),Cheapest card price (ARS),Number of cards in total,Obtainable cards,Steam commission (ARS),Value of the cards obtainable without the steam commission (ARS),Approximate minimum profit (counting commission and value of the game) (ARS),Price multiplied by number of accounts (ARS),Date of purchase,Offer type,New highest discount?,Days since the offer started,Days for the offer to end,Steamcardexchange link,Steam store link,SI
493540,Figment,35.99,-84%,0.04,2.2,7,4,1.32,8.8,-28.51,-313.61,,Weeklong Deals,"lowest price is ARS$ 33,74 at -85%",4 hours ago,in 7 days,https://www.steamcardexchange.net/index.php?gamepage-appid-493540,https://store.steampowered.com/app/493540/Figment/,]
326480,If My Heart Had Wings,35.99,-80%,0.09,4.95,8,4,2.97,19.8,-19.16,-210.76,,Weeklong Deals,Product is priced on par with lowest recorded price,4 hours ago,in 7 days,https://www.steamcardexchange.net/index.php?gamepage-appid-326480,https://store.steampowered.com/app/326480/If_My_Heart_Had_Wings/,]
508260,Treasure of a Blizzard,35.99,-80%,0.13,7.15,6,3,3.21,21.45,-17.75,-195.25,,X,Product is priced on par with lowest recorded price,7 days ago,in 7 days,https://www.steamcardexchange.net/index.php?gamepage-appid-508260,https://store.steampowered.com/app/508260/Treasure_of_a_Blizzard/,]
243450,Urban Trial Freestyle,35.99,-70%,0.05,2.75,7,4,1.65,11.0,-26.64,-293.04,,X,"lowest price is ARS$ 11,99 at -90%",4 days ago,in 10 days,https://www.steamcardexchange.net/index.php?gamepage-appid-243450,https://store.steampowered.com/app/243450/Urban_Trial_Freestyle/,]
317370,The Keep,35.99,-80%,0.05,2.75,9,5,2.06,13.75,-24.3,-267.3,,X,"lowest price is ARS$ 17,99 at -90%",4 hours ago,in 14 days,https://www.steamcardexchange.net/index.php?gamepage-appid-317370,https://store.steampowered.com/app/317370/The_Keep/,]
650220,Interplanetary: Enhanced Edition,35.99,-80%,0.04,2.2,12,6,1.98,13.2,-24.77,-272.46,,Weeklong Deals,Product is priced on par with lowest recorded price,4 hours ago,in 7 days,https://www.steamcardexchange.net/index.php?gamepage-appid-650220,https://store.steampowered.com/app/650220/Interplanetary_Enhanced_Edition/,]
674380,Delude - Succubus Prison,36.17,-33%,-,-,-,-,-,-,-,-,,Weeklong Deals,"lowest price is ARS$ 7,01 at -74%",4 hours ago,in 7 days,https://www.steamcardexchange.net/index.php?gamepage-appid-674380,https://store.steampowered.com/app/674380/Delude__Succubus_Prison/,]
595660,Lux Alliance,36.39,-72%,0.08,4.4,7,4,2.64,17.6,-21.43,-235.73,,Weeklong Deals,"lowest price is ARS$ 25,99 at -80%",4 hours ago,in 7 days,https://www.steamcardexchange.net/index.php?gamepage-appid-595660,https://store.steampowered.com/app/595660/Lux_Alliance/,]
722960,CASE 2: Animatronics Survival,36.74,-65%,0.09,4.95,5,3,2.22,14.85,-24.11,-265.2,,Weeklong Deals,"lowest price is ARS$ 31,49 at -70%",4 hours ago,in 7 days,https://www.steamcardexchange.net/index.php?gamepage-appid-722960,https://store.steampowered.com/app/722960/CASE_2_Animatronics_Survival/,]
631920,Somewhere on Zibylon,37.18,-78%,0.05,2.75,6,3,1.23,8.25,-30.16,-331.76,,Weeklong Deals,"lowest price is ARS$ 16,90 at -90%",4 hours ago,in 7 days,https://www.steamcardexchange.net/index.php?gamepage-appid-631920,https://store.steampowered.com/app/631920/Somewhere_on_Zibylon/,]
635010,ANTIFECTOR,37.39,-45%,0.04,2.2,5,3,0.99,6.6,-31.78,-349.58,,Weeklong Deals,"lowest price is ARS$ 12,23 at -82%",4 hours ago,in 7 days,https://www.steamcardexchange.net/index.php?gamepage-appid-635010,https://store.steampowered.com/app/635010/ANTIFECTOR/,]
