Appid,Name,Game price (ARS),Discount,Cheapest card price (USD),Cheapest card price (ARS),Number of cards in total,Obtainable cards,Steam commission (ARS),Value of the cards obtainable without the steam commission (ARS),Sales x 24 hours for the cheapest item,Approximate minimum profit (ARS),Price multiplied by number of accounts (ARS),Date of purchase,Offer type,New highest discount?,Days since the offer started,Days for the offer to end,Market direct link,Steamcardexchange link,Steam store link,SI
401560,Broadside,6.99,-50%,0.04,2.2,7,4,1.32,8.8,,0.49,5.39,,-,-,-,-,https://steamcommunity.com/market/search?appid=753&category_753_Game%5B%5D=tag_app_401560#p1_price_asc,https://www.steamcardexchange.net/index.php?gamepage-appid-401560,https://store.steampowered.com/app/401560/Broadside/,]
343360,Particula,6.99,-50%,0.04,2.2,7,4,1.32,8.8,,0.49,5.39,,-,-,-,-,https://steamcommunity.com/market/search?appid=753&category_753_Game%5B%5D=tag_app_343360#p1_price_asc,https://www.steamcardexchange.net/index.php?gamepage-appid-343360,https://store.steampowered.com/app/343360/Particula/,]
389700,My Bones,6.99,-50%,0.04,2.2,7,4,1.32,8.8,,0.49,5.39,,-,-,-,-,https://steamcommunity.com/market/search?appid=753&category_753_Game%5B%5D=tag_app_389700#p1_price_asc,https://www.steamcardexchange.net/index.php?gamepage-appid-389700,https://store.steampowered.com/app/389700/My_Bones/,]
388660,Project Tarvotan,6.99,-50%,0.04,2.2,8,4,1.32,8.8,,0.49,5.39,,-,-,-,-,https://steamcommunity.com/market/search?appid=753&category_753_Game%5B%5D=tag_app_388660#p1_price_asc,https://www.steamcardexchange.net/index.php?gamepage-appid-388660,https://store.steampowered.com/app/388660/Project_Tarvotan/,]
513570,Wooden House,6.99,-50%,0.04,2.2,7,4,1.32,8.8,,0.49,5.39,,-,-,-,-,https://steamcommunity.com/market/search?appid=753&category_753_Game%5B%5D=tag_app_513570#p1_price_asc,https://www.steamcardexchange.net/index.php?gamepage-appid-513570,https://store.steampowered.com/app/513570/Wooden_House/,]
400740,VERGE:Lost chapter,6.99,-50%,0.04,2.2,7,4,1.32,8.8,,0.49,5.39,,-,-,-,-,https://steamcommunity.com/market/search?appid=753&category_753_Game%5B%5D=tag_app_400740#p1_price_asc,https://www.steamcardexchange.net/index.php?gamepage-appid-400740,https://store.steampowered.com/app/400740/VERGELost_chapter/,]
605110,VR Chair Games,6.99,-50%,0.04,2.2,7,4,1.32,8.8,,0.49,5.39,,-,-,-,-,https://steamcommunity.com/market/search?appid=753&category_753_Game%5B%5D=tag_app_605110#p1_price_asc,https://www.steamcardexchange.net/index.php?gamepage-appid-605110,https://store.steampowered.com/app/605110/VR_Chair_Games/,]
380790,Demon Horde Master,6.99,-50%,0.04,2.2,7,4,1.32,8.8,,0.49,5.39,,-,-,-,-,https://steamcommunity.com/market/search?appid=753&category_753_Game%5B%5D=tag_app_380790#p1_price_asc,https://www.steamcardexchange.net/index.php?gamepage-appid-380790,https://store.steampowered.com/app/380790/Demon_Horde_Master/,]
535760,Unforgiving Trials: The Space Crusade,6.99,-50%,0.04,2.2,8,4,1.32,8.8,,0.49,5.39,,-,-,-,-,https://steamcommunity.com/market/search?appid=753&category_753_Game%5B%5D=tag_app_535760#p1_price_asc,https://www.steamcardexchange.net/index.php?gamepage-appid-535760,https://store.steampowered.com/app/535760/Unforgiving_Trials_The_Space_Crusade/,]
259550,Hero of the Kingdom,7.89,-90%,0.06,3.3,5,3,1.48,9.89,,0.52,5.72,,X,new highest discount,17 hours ago,in 5 days,https://steamcommunity.com/market/search?appid=753&category_753_Game%5B%5D=tag_app_259550#p1_price_asc,https://www.steamcardexchange.net/index.php?gamepage-appid-259550,https://store.steampowered.com/app/259550/Hero_of_the_Kingdom/,]
376490,The Great Gatsby: Secret Treasure,7.89,-90%,0.06,3.3,5,3,1.48,9.89,,0.52,5.72,,-,-,-,-,https://steamcommunity.com/market/search?appid=753&category_753_Game%5B%5D=tag_app_376490#p1_price_asc,https://www.steamcardexchange.net/index.php?gamepage-appid-376490,https://store.steampowered.com/app/376490/The_Great_Gatsby_Secret_Treasure/,]
352140,Finders,7.89,-90%,0.06,3.3,6,3,1.48,9.89,,0.52,5.72,,-,-,-,-,https://steamcommunity.com/market/search?appid=753&category_753_Game%5B%5D=tag_app_352140#p1_price_asc,https://www.steamcardexchange.net/index.php?gamepage-appid-352140,https://store.steampowered.com/app/352140/Finders/,]
435420,Operation: Matriarchy,7.89,-90%,0.06,3.3,5,3,1.48,9.89,,0.52,5.72,,-,-,-,-,https://steamcommunity.com/market/search?appid=753&category_753_Game%5B%5D=tag_app_435420#p1_price_asc,https://www.steamcardexchange.net/index.php?gamepage-appid-435420,https://store.steampowered.com/app/435420/Operation_Matriarchy/,]
545800,Ghostdream,7.89,-90%,0.06,3.3,6,3,1.48,9.89,,0.52,5.72,,-,-,-,-,https://steamcommunity.com/market/search?appid=753&category_753_Game%5B%5D=tag_app_545800#p1_price_asc,https://www.steamcardexchange.net/index.php?gamepage-appid-545800,https://store.steampowered.com/app/545800/Ghostdream/,]
1007350,Mirror Maker,13.49,-50%,0.06,3.3,9,5,2.47,16.5,,0.53,5.83,,-,-,-,-,https://steamcommunity.com/market/search?appid=753&category_753_Game%5B%5D=tag_app_1007350#p1_price_asc,https://www.steamcardexchange.net/index.php?gamepage-appid-1007350,https://store.steampowered.com/app/1007350/Mirror_Maker/,]
456430,Christmas Adventure: Candy Storm,13.49,-50%,0.1,5.5,5,3,2.47,16.5,,0.53,5.83,,-,-,-,-,https://steamcommunity.com/market/search?appid=753&category_753_Game%5B%5D=tag_app_456430#p1_price_asc,https://www.steamcardexchange.net/index.php?gamepage-appid-456430,https://store.steampowered.com/app/456430/Christmas_Adventure_Candy_Storm/,]
372210,Spooky Cats,11.99,-70%,0.09,4.95,5,3,2.22,14.85,,0.63,6.93,,-,-,-,-,https://steamcommunity.com/market/search?appid=753&category_753_Game%5B%5D=tag_app_372210#p1_price_asc,https://www.steamcardexchange.net/index.php?gamepage-appid-372210,https://store.steampowered.com/app/372210/Spooky_Cats/,]
540100,Imprisoned Light,7.69,-45%,0.06,3.3,6,3,1.48,9.89,,0.71,7.81,,-,-,-,-,https://steamcommunity.com/market/search?appid=753&category_753_Game%5B%5D=tag_app_540100#p1_price_asc,https://www.steamcardexchange.net/index.php?gamepage-appid-540100,https://store.steampowered.com/app/540100/Imprisoned_Light/,]
485570,Milford Heaven - Luken's Chronicles,7.69,-45%,0.06,3.3,5,3,1.48,9.89,,0.71,7.81,,-,-,-,-,https://steamcommunity.com/market/search?appid=753&category_753_Game%5B%5D=tag_app_485570#p1_price_asc,https://www.steamcardexchange.net/index.php?gamepage-appid-485570,https://store.steampowered.com/app/485570/Milford_Heaven__Lukens_Chronicles/,]
655100,Oik 3,10.49,-25%,0.06,3.3,8,4,1.98,13.2,,0.72,7.92,,-,-,-,-,https://steamcommunity.com/market/search?appid=753&category_753_Game%5B%5D=tag_app_655100#p1_price_asc,https://www.steamcardexchange.net/index.php?gamepage-appid-655100,https://store.steampowered.com/app/655100/Oik_3/,]
518650,illumine,11.84,-85%,0.09,4.95,6,3,2.22,14.85,,0.78,8.58,,-,-,-,-,https://steamcommunity.com/market/search?appid=753&category_753_Game%5B%5D=tag_app_518650#p1_price_asc,https://www.steamcardexchange.net/index.php?gamepage-appid-518650,https://store.steampowered.com/app/518650/illumine/,]
426690,Narcissu 10th Anniversary Anthology Project,15.99,-60%,0.12,6.6,5,3,2.96,19.79,,0.83,9.12,,-,-,-,-,https://steamcommunity.com/market/search?appid=753&category_753_Game%5B%5D=tag_app_426690#p1_price_asc,https://www.steamcardexchange.net/index.php?gamepage-appid-426690,https://store.steampowered.com/app/426690/Narcissu_10th_Anniversary_Anthology_Project/,]
508930,Mini Z Racers Turbo,8.49,-90%,0.04,2.2,10,5,1.65,11.0,,0.85,9.35,,-,-,-,-,https://steamcommunity.com/market/search?appid=753&category_753_Game%5B%5D=tag_app_508930#p1_price_asc,https://www.steamcardexchange.net/index.php?gamepage-appid-508930,https://store.steampowered.com/app/508930/Mini_Z_Racers_Turbo/,]
431810,Rencounter,7.54,-87%,0.06,3.3,6,3,1.48,9.89,,0.87,9.57,,-,-,-,-,https://steamcommunity.com/market/search?appid=753&category_753_Game%5B%5D=tag_app_431810#p1_price_asc,https://www.steamcardexchange.net/index.php?gamepage-appid-431810,https://store.steampowered.com/app/431810/Rencounter/,]
501840,Don't Disturb,10.79,-80%,0.05,2.75,9,5,2.06,13.75,,0.9,9.9,,-,-,-,-,https://steamcommunity.com/market/search?appid=753&category_753_Game%5B%5D=tag_app_501840#p1_price_asc,https://www.steamcardexchange.net/index.php?gamepage-appid-501840,https://store.steampowered.com/app/501840/Dont_Disturb/,]
523060,Planet Smasher,10.79,-80%,0.05,2.75,10,5,2.06,13.75,,0.9,9.9,,-,-,-,-,https://steamcommunity.com/market/search?appid=753&category_753_Game%5B%5D=tag_app_523060#p1_price_asc,https://www.steamcardexchange.net/index.php?gamepage-appid-523060,https://store.steampowered.com/app/523060/Planet_Smasher/,]
33100,Alien Shooter,7.47,-89%,0.06,3.3,6,3,1.48,9.89,,0.94,10.34,,X,"lowest price is ARS$ 6,99 at -90%",17 hours ago,in 5 days,https://steamcommunity.com/market/search?appid=753&category_753_Game%5B%5D=tag_app_33100#p1_price_asc,https://www.steamcardexchange.net/index.php?gamepage-appid-33100,https://store.steampowered.com/app/33100/Alien_Shooter/,]
514920,Crash Wheels,7.47,-89%,0.06,3.3,5,3,1.48,9.89,,0.94,10.34,,X,"lowest price is ARS$ 6,99 at -90%",17 hours ago,in 5 days,https://steamcommunity.com/market/search?appid=753&category_753_Game%5B%5D=tag_app_514920#p1_price_asc,https://www.steamcardexchange.net/index.php?gamepage-appid-514920,https://store.steampowered.com/app/514920/Crash_Wheels/,]
395930,Farm Frenzy: Heave Ho,7.47,-89%,0.06,3.3,5,3,1.48,9.89,,0.94,10.34,,-,-,-,-,https://steamcommunity.com/market/search?appid=753&category_753_Game%5B%5D=tag_app_395930#p1_price_asc,https://www.steamcardexchange.net/index.php?gamepage-appid-395930,https://store.steampowered.com/app/395930/Farm_Frenzy_Heave_Ho/,]
