Appid,Name,Game price (ARS),Discount,Cheapest card price (USD),Cheapest card price (ARS),Number of cards in total,Obtainable cards,Steam commission (ARS),Value of the cards obtainable without the steam commission (ARS),Approximate minimum profit (ARS),Price multiplied by number of accounts (ARS),Date of purchase,Offer type,New highest discount?,Days since the offer started,Days for the offer to end,Steamcardexchange link,Steam store link,SI
1168660,Barro 2020,6.99,-50%,,,,,,,,,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-1168660,https://store.steampowered.com/app/1168660/Barro_2020/,]
1070330,Russian Life Simulator,6.99,-50%,,,,,,,,,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-1070330,https://store.steampowered.com/app/1070330/Russian_Life_Simulator/,]
490910,Control Craft 3,6.99,-50%,,,,,,,,,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-490910,https://store.steampowered.com/app/490910/Control_Craft_3/,]
944220,Gachi Heroes,6.99,-50%,,,,,,,,,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-944220,https://store.steampowered.com/app/944220/Gachi_Heroes/,]
615610,Orbt XL,6.99,-50%,,,,,,,,,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-615610,https://store.steampowered.com/app/615610/Orbt_XL/,]
433950,Bit Blaster XL,6.99,-50%,,,,,,,,,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-433950,https://store.steampowered.com/app/433950/Bit_Blaster_XL/,]
585830,Ninja Stealth 2,6.99,-50%,,,,,,,,,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-585830,https://store.steampowered.com/app/585830/Ninja_Stealth_2/,]
862570,Ding Dong XL,6.99,-50%,,,,,,,,,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-862570,https://store.steampowered.com/app/862570/Ding_Dong_XL/,]
715010,Diamo XL,6.99,-50%,,,,,,,,,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-715010,https://store.steampowered.com/app/715010/Diamo_XL/,]
438480,Rock 'N' Roll Defense,6.99,-50%,,,,,,,,,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-438480,https://store.steampowered.com/app/438480/Rock_N_Roll_Defense/,]
914690,Hentai Shooter 3D,6.99,-50%,,,,,,,,,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-914690,https://store.steampowered.com/app/914690/Hentai_Shooter_3D/,]
597230,Shotgun Legend,6.99,-50%,,,,,,,,,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-597230,https://store.steampowered.com/app/597230/Shotgun_Legend/,]
439930,Control Craft 2,6.99,-50%,,,,,,,,,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-439930,https://store.steampowered.com/app/439930/Control_Craft_2/,]
