Appid,Name,Game price (ARS),Discount,Cheapest card price (USD),Cheapest card price (ARS),Number of cards in total,Obtainable cards,Steam commission (ARS),Value of the cards obtainable without the steam commission (ARS),Sales x 24 hours for the cheapest item,Approximate minimum profit (ARS),Price multiplied by number of accounts (ARS),Date of purchase,Offer type,New highest discount?,Days since the offer started,Days for the offer to end,Market direct link,Steamcardexchange link,Steam store link,SI
357070,UBERMOSH,7.01,-46%,0.05,2.75,6,3,1.23,8.25,,0.0,0.0,,,,,,https://steamcommunity.com/market/search?appid=753&category_753_Game%5B%5D=tag_app_357070#p1_price_asc,https://www.steamcardexchange.net/index.php?gamepage-appid-357070,https://store.steampowered.com/app/357070/UBERMOSH/,]
273500,Over 9000 Zombies!,7.01,-74%,0.05,2.75,5,3,1.23,8.25,,0.0,0.0,,,,,,https://steamcommunity.com/market/search?appid=753&category_753_Game%5B%5D=tag_app_273500#p1_price_asc,https://www.steamcardexchange.net/index.php?gamepage-appid-273500,https://store.steampowered.com/app/273500/Over_9000_Zombies/,]
307230,"I, Zombie",7.01,-74%,0.05,2.75,6,3,1.23,8.25,,0.0,0.0,,,,,,https://steamcommunity.com/market/search?appid=753&category_753_Game%5B%5D=tag_app_307230#p1_price_asc,https://www.steamcardexchange.net/index.php?gamepage-appid-307230,https://store.steampowered.com/app/307230/I_Zombie/,]
544870,Blood Ties,7.01,-87%,0.05,2.75,5,3,1.23,8.25,,0.0,0.0,,,,,,https://steamcommunity.com/market/search?appid=753&category_753_Game%5B%5D=tag_app_544870#p1_price_asc,https://www.steamcardexchange.net/index.php?gamepage-appid-544870,https://store.steampowered.com/app/544870/Blood_Ties/,]
496640,Strange Night,7.01,-87%,0.05,2.75,5,3,1.23,8.25,,0.0,0.0,,,,,,https://steamcommunity.com/market/search?appid=753&category_753_Game%5B%5D=tag_app_496640#p1_price_asc,https://www.steamcardexchange.net/index.php?gamepage-appid-496640,https://store.steampowered.com/app/496640/Strange_Night/,]
420740,The Deed,7.01,-46%,0.05,2.75,5,3,1.23,8.25,,0.0,0.0,,,,,,https://steamcommunity.com/market/search?appid=753&category_753_Game%5B%5D=tag_app_420740#p1_price_asc,https://www.steamcardexchange.net/index.php?gamepage-appid-420740,https://store.steampowered.com/app/420740/The_Deed/,]
438080,Surfingers,7.01,-74%,0.05,2.75,5,3,1.23,8.25,,0.0,0.0,,,,,,https://steamcommunity.com/market/search?appid=753&category_753_Game%5B%5D=tag_app_438080#p1_price_asc,https://www.steamcardexchange.net/index.php?gamepage-appid-438080,https://store.steampowered.com/app/438080/Surfingers/,]
428900,"Linea, the Game",7.01,-74%,0.05,2.75,5,3,1.23,8.25,,0.0,0.0,,,,,,https://steamcommunity.com/market/search?appid=753&category_753_Game%5B%5D=tag_app_428900#p1_price_asc,https://www.steamcardexchange.net/index.php?gamepage-appid-428900,https://store.steampowered.com/app/428900/Linea_the_Game/,]
285480,The Entente Gold,7.01,-74%,0.05,2.75,5,3,1.23,8.25,,0.0,0.0,,,,,,https://steamcommunity.com/market/search?appid=753&category_753_Game%5B%5D=tag_app_285480#p1_price_asc,https://www.steamcardexchange.net/index.php?gamepage-appid-285480,https://store.steampowered.com/app/285480/The_Entente_Gold/,]
434420,The Chosen RPG,7.01,-74%,0.05,2.75,5,3,1.23,8.25,,0.0,0.0,,,,,,https://steamcommunity.com/market/search?appid=753&category_753_Game%5B%5D=tag_app_434420#p1_price_asc,https://www.steamcardexchange.net/index.php?gamepage-appid-434420,https://store.steampowered.com/app/434420/The_Chosen_RPG/,]
391260,Labyronia RPG,7.01,-74%,0.05,2.75,5,3,1.23,8.25,,0.0,0.0,,,,,,https://steamcommunity.com/market/search?appid=753&category_753_Game%5B%5D=tag_app_391260#p1_price_asc,https://www.steamcardexchange.net/index.php?gamepage-appid-391260,https://store.steampowered.com/app/391260/Labyronia_RPG/,]
341310,Greyfox RPG,7.01,-74%,0.05,2.75,5,3,1.23,8.25,,0.0,0.0,,,,,,https://steamcommunity.com/market/search?appid=753&category_753_Game%5B%5D=tag_app_341310#p1_price_asc,https://www.steamcardexchange.net/index.php?gamepage-appid-341310,https://store.steampowered.com/app/341310/Greyfox_RPG/,]
397500,Labyronia RPG 2,7.01,-74%,0.05,2.75,5,3,1.23,8.25,,0.0,0.0,,,,,,https://steamcommunity.com/market/search?appid=753&category_753_Game%5B%5D=tag_app_397500#p1_price_asc,https://www.steamcardexchange.net/index.php?gamepage-appid-397500,https://store.steampowered.com/app/397500/Labyronia_RPG_2/,]
485860,Impossible Quest,7.01,-74%,0.05,2.75,5,3,1.23,8.25,,0.0,0.0,,,,,,https://steamcommunity.com/market/search?appid=753&category_753_Game%5B%5D=tag_app_485860#p1_price_asc,https://www.steamcardexchange.net/index.php?gamepage-appid-485860,https://store.steampowered.com/app/485860/Impossible_Quest/,]
407230,Legend of Mysteria RPG,7.01,-74%,0.05,2.75,5,3,1.23,8.25,,0.0,0.0,,,,,,https://steamcommunity.com/market/search?appid=753&category_753_Game%5B%5D=tag_app_407230#p1_price_asc,https://www.steamcardexchange.net/index.php?gamepage-appid-407230,https://store.steampowered.com/app/407230/Legend_of_Mysteria_RPG/,]
481870,Mini Thief,7.01,-73%,0.05,2.75,5,3,1.23,8.25,,0.0,0.0,,,,,,https://steamcommunity.com/market/search?appid=753&category_753_Game%5B%5D=tag_app_481870#p1_price_asc,https://www.steamcardexchange.net/index.php?gamepage-appid-481870,https://store.steampowered.com/app/481870/Mini_Thief/,]
607440,Escape: VR,7.01,-74%,0.05,2.75,5,3,1.23,8.25,,0.0,0.0,,,,,,https://steamcommunity.com/market/search?appid=753&category_753_Game%5B%5D=tag_app_607440#p1_price_asc,https://www.steamcardexchange.net/index.php?gamepage-appid-607440,https://store.steampowered.com/app/607440/Escape_VR/,]
396160,Secret Of Magia,7.01,-74%,0.05,2.75,5,3,1.23,8.25,,0.0,0.0,,,,,,https://steamcommunity.com/market/search?appid=753&category_753_Game%5B%5D=tag_app_396160#p1_price_asc,https://www.steamcardexchange.net/index.php?gamepage-appid-396160,https://store.steampowered.com/app/396160/Secret_Of_Magia/,]
332790,Darkness Assault,7.01,-74%,0.05,2.75,5,3,1.23,8.25,,0.0,0.0,,,,,,https://steamcommunity.com/market/search?appid=753&category_753_Game%5B%5D=tag_app_332790#p1_price_asc,https://www.steamcardexchange.net/index.php?gamepage-appid-332790,https://store.steampowered.com/app/332790/Darkness_Assault/,]
340070,Battle Ranch: Pigs vs Plants,7.01,-74%,0.05,2.75,5,3,1.23,8.25,,0.0,0.0,,,,,,https://steamcommunity.com/market/search?appid=753&category_753_Game%5B%5D=tag_app_340070#p1_price_asc,https://www.steamcardexchange.net/index.php?gamepage-appid-340070,https://store.steampowered.com/app/340070/Battle_Ranch_Pigs_vs_Plants/,]
506730,Dinosaur Forest,7.01,-74%,0.05,2.75,5,3,1.23,8.25,,0.0,0.0,,,,,,https://steamcommunity.com/market/search?appid=753&category_753_Game%5B%5D=tag_app_506730#p1_price_asc,https://www.steamcardexchange.net/index.php?gamepage-appid-506730,https://store.steampowered.com/app/506730/Dinosaur_Forest/,]
585950,Wayout 2: Hex,7.01,-46%,0.05,2.75,5,3,1.23,8.25,,0.0,0.0,,,,,,https://steamcommunity.com/market/search?appid=753&category_753_Game%5B%5D=tag_app_585950#p1_price_asc,https://www.steamcardexchange.net/index.php?gamepage-appid-585950,https://store.steampowered.com/app/585950/Wayout_2_Hex/,]
557030,Avenger Bird,7.01,-87%,0.05,2.75,5,3,1.23,8.25,,0.0,0.0,,,,,,https://steamcommunity.com/market/search?appid=753&category_753_Game%5B%5D=tag_app_557030#p1_price_asc,https://www.steamcardexchange.net/index.php?gamepage-appid-557030,https://store.steampowered.com/app/557030/Avenger_Bird/,]
