Appid,Name,Game price (ARS),Discount,Cheapest card price (USD),Cheapest card price (ARS),Number of cards in total,Obtainable cards,Steam commission (ARS),Value of the cards obtainable without the steam commission (ARS),Approximate minimum profit (ARS),Price multiplied by number of accounts (ARS),Date of purchase,Offer type,New highest discount?,Days since the offer started,Days for the offer to end,Steamcardexchange link,Steam store link,SI
994140,Lightmatter,Without offer/error,-50%,0.05,2.75,5,3,1.23,8.25,Cannot be calculated,-,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-994140,https://store.steampowered.com/app/994140/Lightmatter/,]
351940,The Descendant,Without offer/error,-90%,0.05,2.75,5,3,1.23,8.25,Cannot be calculated,-,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-351940,https://store.steampowered.com/app/351940/The_Descendant/,]
570,Dota 2,Without offer/error,,0.04,2.2,8,4,1.32,8.8,Cannot be calculated,-,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-570,https://store.steampowered.com/app/570/Dota_2/,]
730,Counter-Strike: Global Offensive,Without offer/error,,0.06,3.3,5,3,1.48,9.89,Cannot be calculated,-,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-730,https://store.steampowered.com/app/730/CounterStrike_Global_Offensive/,]
203770,Crusader Kings II,Without offer/error,,0.05,2.75,8,4,1.65,11.0,Cannot be calculated,-,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-203770,https://store.steampowered.com/app/203770/Crusader_Kings_II/,]
1029890,Layers of Fear 2,Without offer/error,,0.06,3.3,7,4,1.98,13.2,Cannot be calculated,-,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-1029890,https://store.steampowered.com/app/1029890/Layers_of_Fear_2/,]
202170,Sleeping Dogs,Without offer/error,,0.06,3.3,8,4,1.98,13.2,Cannot be calculated,-,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-202170,https://store.steampowered.com/app/202170/Sleeping_Dogs/,]
440,Team Fortress 2,Without offer/error,,0.05,2.75,9,5,2.06,13.75,Cannot be calculated,-,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-440,https://store.steampowered.com/app/440/Team_Fortress_2/,]
437160,The Lion's Song: Episode 1 - Silence,Without offer/error,-50%,0.05,2.75,10,5,2.06,13.75,Cannot be calculated,-,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-437160,https://store.steampowered.com/app/437160/The_Lions_Song_Episode_1__Silence/,]
750920,Shadow of the Tomb Raider: Definitive Edition,Without offer/error,,0.09,4.95,6,3,2.22,14.85,Cannot be calculated,-,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-750920,https://store.steampowered.com/app/750920/Shadow_of_the_Tomb_Raider_Definitive_Edition/,]
287630,The Council,Without offer/error,-75%,0.05,2.75,11,6,2.47,16.5,Cannot be calculated,-,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-287630,https://store.steampowered.com/app/287630/The_Council/,]
319630,Life is Strange - Episode 1,Without offer/error,-80%,0.1,5.5,6,3,2.47,16.5,Cannot be calculated,-,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-319630,https://store.steampowered.com/app/319630/Life_is_Strange__Episode_1/,]
274980,Influent,Without offer/error,-60%,0.04,2.2,15,8,2.64,17.6,Cannot be calculated,-,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-274980,https://store.steampowered.com/app/274980/Influent/,]
969020,Movavi Video Editor 15 Plus,349.75,-75%,0.05,2.75,8,4,1.65,11.0,-340.4,-3744.39,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-969020,https://store.steampowered.com/app/969020/Movavi_Video_Editor_15_Plus/,]
493340,Planet Coaster,344.99,-50%,0.06,3.3,6,3,1.48,9.89,-336.58,-3702.37,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-493340,https://store.steampowered.com/app/493340/Planet_Coaster/,]
1262540,Need for Speed™,349.75,-75%,0.1,5.5,5,3,2.47,16.5,-335.72,-3692.92,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-1262540,https://store.steampowered.com/app/1262540/Need_for_Speed/,]
