Appid,Name,Game price (ARS),Discount,Cheapest card price (USD),Cheapest card price (ARS),Number of cards in total,Obtainable cards,Steam commission (ARS),Value of the cards obtainable without the steam commission (ARS),Approximate minimum profit (ARS),Price multiplied by number of accounts (ARS),Date of purchase,Offer type,New highest discount?,Days since the offer started,Days for the offer to end,Steamcardexchange link,Steam store link,SI
496350,Supipara - Chapter 1 Spring Has Come!,89.99,-50%,0.09,4.95,6,3,2.22,14.85,-77.36,-850.96,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-496350,https://store.steampowered.com/app/496350/Supipara__Chapter_1_Spring_Has_Come/,]
632250,DERU - The Art of Cooperation,89.99,-50%,0.09,4.95,5,3,2.22,14.85,-77.36,-850.96,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-632250,https://store.steampowered.com/app/632250/DERU__The_Art_of_Cooperation/,]
525480,.hack//G.U. Last Recode,86.39,-84%,0.05,2.75,8,4,1.65,11.0,-77.04,-847.44,,X,Product is priced on par with lowest recorded price,18 hours ago,in 5 days,https://www.steamcardexchange.net/index.php?gamepage-appid-525480,https://store.steampowered.com/app/525480/hackGU_Last_Recode/,]
427250,8-Bit Armies,86.39,-52%,0.04,2.2,10,5,1.65,11.0,-77.04,-847.44,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-427250,https://store.steampowered.com/app/427250/8Bit_Armies/,]
531680,8-Bit Invaders!,86.39,-52%,0.05,2.75,8,4,1.65,11.0,-77.04,-847.44,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-531680,https://store.steampowered.com/app/531680/8Bit_Invaders/,]
58230,MacGuffin's Curse,84.49,-35%,0.04,2.2,8,4,1.32,8.8,-77.0,-847.0,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-58230,https://store.steampowered.com/app/58230/MacGuffins_Curse/,]
451780,Trillion: God of Destruction,90.99,-30%,0.06,3.3,9,5,2.47,16.5,-76.95,-846.45,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-451780,https://store.steampowered.com/app/451780/Trillion_God_of_Destruction/,]
589100,The Moonstone Equation,90.99,-30%,0.05,2.75,12,6,2.47,16.5,-76.95,-846.45,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-589100,https://store.steampowered.com/app/589100/The_Moonstone_Equation/,]
410890,Higurashi When They Cry Hou - Ch.2 Watanagashi,97.49,-35%,0.11,6.05,8,4,3.63,24.2,-76.91,-846.01,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-410890,https://store.steampowered.com/app/410890/Higurashi_When_They_Cry_Hou__Ch2_Watanagashi/,]
557600,Gorogoa,89.99,-50%,0.07,3.85,8,4,2.31,15.4,-76.89,-845.79,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-557600,https://store.steampowered.com/app/557600/Gorogoa/,]
