AppID,Name,Game price (ARS),Discount,Cheapest card price (USD),Cheapest card price (ARS),Number of cards in total,Obtainable cards,Steam commission (ARS),Value of the cards obtainable without the steam commission (ARS),Approximate minimum profit (counting commission and value of the game) (ARS),Price multiplied by number of accounts (ARS),Date of purchase,Offer type,New highest discount?,Days since the offer started,Days for the offer to end,Steamcardexchange link,Steam store link,SI
359960,Choice Chamber,25.99,-80%,,,,,,,,,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-359960,https://store.steampowered.com/app/359960,]
375200,Sakura Fantasy,25.99,-80%,,,,,,,,,,X,Product is priced on par with lowest recorded price,2 days ago,2 days,https://www.steamcardexchange.net/index.php?gamepage-appid-375200,https://store.steampowered.com/app/375200,]
313740,Sakura Spirit,25.99,-80%,,,,,,,,,,X,Product is priced on par with lowest recorded price,2 days ago,2 days,https://www.steamcardexchange.net/index.php?gamepage-appid-313740,https://store.steampowered.com/app/313740,]
303430,Roundabout,25.99,-80%,,,,,,,,,,X,Product is priced on par with lowest recorded price,2 days ago,2 days,https://www.steamcardexchange.net/index.php?gamepage-appid-303430,https://store.steampowered.com/app/303430,]
491040,Bot Vice,25.99,-80%,,,,,,,,,,X,"lowest price is ARS$ 6,99 at -50%",2 days ago,2 days,https://www.steamcardexchange.net/index.php?gamepage-appid-491040,https://store.steampowered.com/app/491040,]
581520,Sakura Magical Girls,25.99,-80%,,,,,,,,,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-581520,https://store.steampowered.com/app/581520,]
575940,The Tenth Line,25.99,-80%,,,,,,,,,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-575940,https://store.steampowered.com/app/575940,]
368000,100ft Robot Golf,25.99,-80%,,,,,,,,,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-368000,https://store.steampowered.com/app/368000,]
91200,Anomaly: Warzone Earth,25.99,-80%,,,,,,,,,,X,"lowest price is ARS$ 12,99 at -90%",2 days ago,2 days,https://www.steamcardexchange.net/index.php?gamepage-appid-91200,https://store.steampowered.com/app/91200,]
22200,Zeno Clash,25.99,-80%,,,,,,,,,,X,"lowest price is ARS$ 19,49 at -85%",2 days ago,2 days,https://www.steamcardexchange.net/index.php?gamepage-appid-22200,https://store.steampowered.com/app/22200,]
294370,Crowntakers,25.99,-80%,,,,,,,,,,X,Product is priced on par with lowest recorded price,2 days ago,2 days,https://www.steamcardexchange.net/index.php?gamepage-appid-294370,https://store.steampowered.com/app/294370,]
425600,The Order of the Thorne - The King's Challenge,25.99,-80%,,,,,,,,,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-425600,https://store.steampowered.com/app/425600,]
451570,Demetrios - The BIG Cynical Adventure,25.99,-80%,,,,,,,,,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-451570,https://store.steampowered.com/app/451570,]
313400,REVOLVER360 RE:ACTOR,25.99,-80%,,,,,,,,,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-313400,https://store.steampowered.com/app/313400,]
294750,Anomaly Defenders,25.99,-80%,,,,,,,,,,X,"lowest price is ARS$ 12,99 at -90%",2 days ago,2 days,https://www.steamcardexchange.net/index.php?gamepage-appid-294750,https://store.steampowered.com/app/294750,]
363980,Forget Me Not: My Organic Garden,25.99,-80%,,,,,,,,,,X,Product is priced on par with lowest recorded price,2 days ago,2 days,https://www.steamcardexchange.net/index.php?gamepage-appid-363980,https://store.steampowered.com/app/363980,]
586240,Soul Searching,25.99,-80%,,,,,,,,,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-586240,https://store.steampowered.com/app/586240,]
442500,Age of Gladiators,25.99,-80%,,,,,,,,,,X,"lowest price is ARS$ 12,99 at -90%",2 days ago,2 days,https://www.steamcardexchange.net/index.php?gamepage-appid-442500,https://store.steampowered.com/app/442500,]
320340,Cosmonautica,25.99,-80%,,,,,,,,,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-320340,https://store.steampowered.com/app/320340,]
11200,Shadowgrounds Survivor,25.99,-80%,,,,,,,,,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-11200,https://store.steampowered.com/app/11200,]
