AppID,Name,Game price (ARS),Discount,Cheapest card price (USD),Cheapest card price (ARS),Number of cards in total,Obtainable cards,Steam commission (ARS),Value of the cards obtainable without the steam commission (ARS),Approximate minimum profit (counting commission and value of the game) (ARS),Price multiplied by number of accounts (ARS),Date of purchase,Offer type,New highest discount?,Days since the offer started,Days for the offer to end,Steamcardexchange link,Steam store link,SI
1067540,Röki,191.98,-40%,0.05,2.75,12,6,2.47,16.5,-177.95,-1957.44,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-1067540,https://store.steampowered.com/app/1067540/Rki/,]
551860,Abandon Ship,195.99,-30%,0.04,2.2,8,4,1.32,8.8,-188.51,-2073.6,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-551860,https://store.steampowered.com/app/551860/Abandon_Ship/,]
991810,Strategic Mind: The Pacific,197.99,-40%,0.04,2.2,8,4,1.32,8.8,-190.51,-2095.6,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-991810,https://store.steampowered.com/app/991810/Strategic_Mind_The_Pacific/,]
310950,Street Fighter V,198.8,-60%,0.04,2.2,15,8,2.64,17.6,-183.84,-2022.24,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-310950,https://store.steampowered.com/app/310950/Street_Fighter_V/,]
427830,Hybrid Beasts,202.49,-10%,0.08,4.4,12,6,3.96,26.4,-180.05,-1980.55,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-427830,https://store.steampowered.com/app/427830/Hybrid_Beasts/,]
611160,Karnage Chronicles,209.99,-25%,0.05,2.75,5,3,1.23,8.25,-202.97,-2232.67,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-611160,https://store.steampowered.com/app/611160/Karnage_Chronicles/,]
994890,Metro Simulator 2020,209.99,-65%,0.14,7.7,6,3,3.46,23.1,-190.35,-2093.85,,X,"lowest price is ARS$ 119,99 at -40%",6 days ago,in 8 days,https://www.steamcardexchange.net/index.php?gamepage-appid-994890,https://store.steampowered.com/app/994890/Metro_Simulator_2020/,]
981750,Crystar,220.99,-66%,0.06,3.3,13,7,3.46,23.1,-201.35,-2214.85,,X,new highest discount,6 days ago,tomorrow,https://www.steamcardexchange.net/index.php?gamepage-appid-981750,https://store.steampowered.com/app/981750/Crystar/,]
1262560,Need for Speed™ Most Wanted,224.75,-75%,0.1,5.5,5,3,2.47,16.5,-210.72,-2317.92,,The Guildford.Games Festival,Product is priced on par with lowest recorded price,3 days ago,tomorrow,https://www.steamcardexchange.net/index.php?gamepage-appid-1262560,https://store.steampowered.com/app/1262560/Need_for_Speed_Most_Wanted/,]
1238080,Burnout™ Paradise Remastered,224.75,-75%,0.1,5.5,5,3,2.47,16.5,-210.72,-2317.92,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-1238080,https://store.steampowered.com/app/1238080/Burnout_Paradise_Remastered/,]
1089630,奇迹一刻 Surmount,239.99,-20%,0.07,3.85,8,4,2.31,15.4,-226.9,-2495.9,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-1089630,https://store.steampowered.com/app/1089630/_Surmount/,]
391220,Rise of the Tomb Raider™,999.0,,0.07,3.85,6,3,1.73,11.55,-989.18,-10880.98,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-391220,https://store.steampowered.com/app/391220/Rise_of_the_Tomb_Raider/,]
337000,Deus Ex: Mankind Divided,999.0,,0.04,2.2,9,5,1.65,11.0,-989.65,-10886.15,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-337000,https://store.steampowered.com/app/337000/Deus_Ex_Mankind_Divided/,]
948740,AI: The Somnium Files,259.99,-60%,0.09,4.95,6,3,2.22,14.85,-247.36,-2720.96,,X,Product is priced on par with lowest recorded price,6 days ago,tomorrow,https://www.steamcardexchange.net/index.php?gamepage-appid-948740,https://store.steampowered.com/app/948740/AI_The_Somnium_Files/,]
