AppID,Name,Game price (ARS),Discount,Cheapest card price (USD),Cheapest card price (ARS),Number of cards in total,Obtainable cards,Steam commission (ARS),Value of the cards obtainable without the steam commission (ARS),Approximate minimum profit (counting commission and value of the game) (ARS),Price multiplied by number of accounts (ARS),Date of purchase,Offer type,New highest discount?,Days since the offer started,Days for the offer to end,Steamcardexchange link,Steam store link
498470,Switch 'N' Shoot,21.59,-60%,,,,,,,,,,X,"lowest price is ARS$ 8,09 at -85%",2 days ago,2 days,https://www.steamcardexchange.net/index.php?gamepage-appid-498470,https://store.steampowered.com/app/498470
407810,Hard Reset Redux,22.49,-90%,,,,,,,,,,Weeklong Deals,Product is priced on par with lowest recorded price,7 days ago,2 hours,https://www.steamcardexchange.net/index.php?gamepage-appid-407810,https://store.steampowered.com/app/407810
230820,The Night of the Rabbit,22.49,-90%,,,,,,,,,,X,Product is priced on par with lowest recorded price,11 days ago,3 days,https://www.steamcardexchange.net/index.php?gamepage-appid-230820,https://store.steampowered.com/app/230820
268540,The Whispered World Special Edition,22.49,-90%,,,,,,,,,,X,Product is priced on par with lowest recorded price,4 days ago,10 days,https://www.steamcardexchange.net/index.php?gamepage-appid-268540,https://store.steampowered.com/app/268540
635900,Tunnels of Despair,22.79,-43%,,,,,,,,,,Weeklong Deals,"lowest price is ARS$ 17,99 at -55%",7 days ago,2 hours,https://www.steamcardexchange.net/index.php?gamepage-appid-635900,https://store.steampowered.com/app/635900
439720,Unending Galaxy,22.99,-80%,,,,,,,,,,Weeklong Deals,Product is priced on par with lowest recorded price,7 days ago,2 hours,https://www.steamcardexchange.net/index.php?gamepage-appid-439720,https://store.steampowered.com/app/439720
321920,Schein,22.99,-80%,,,,,,,,,,Weeklong Deals,"lowest price is ARS$ 14,94 at -87%",7 days ago,2 hours,https://www.steamcardexchange.net/index.php?gamepage-appid-321920,https://store.steampowered.com/app/321920
491700,Gotta Go,23.11,-66%,,,,,,,,,,Weeklong Deals,"lowest price is ARS$ 22,43 at -67%",7 days ago,2 hours,https://www.steamcardexchange.net/index.php?gamepage-appid-491700,https://store.steampowered.com/app/491700
346810,Marble Age,23.69,-70%,,,,,,,,,,X,"lowest price is ARS$ 19,74 at -75%",12 days ago,2 days,https://www.steamcardexchange.net/index.php?gamepage-appid-346810,https://store.steampowered.com/app/346810
282800,100% Orange Juice,23.74,-75%,,,,,,,,,,Weeklong Deals,No,7 days ago,2 hours,https://www.steamcardexchange.net/index.php?gamepage-appid-282800,https://store.steampowered.com/app/282800
335200,ManaCollect,23.74,-75%,,,,,,,,,,Weeklong Deals,Product is priced on par with lowest recorded price,7 days ago,2 hours,https://www.steamcardexchange.net/index.php?gamepage-appid-335200,https://store.steampowered.com/app/335200
296470,Mount Your Friends,23.79,-65%,,,,,,,,,,Weeklong Deals,"lowest price is ARS$ 13,59 at -80%",7 days ago,2 hours,https://www.steamcardexchange.net/index.php?gamepage-appid-296470,https://store.steampowered.com/app/296470
872130,DEEP SPACE WAIFU: WORLD,23.99,-40%,,,,,,,,,,X,Product is priced on par with lowest recorded price,7 days ago,7 days,https://www.steamcardexchange.net/index.php?gamepage-appid-872130,https://store.steampowered.com/app/872130
439310,Until I Have You,25.49,-85%,,,,,,,,,,Weeklong Deals,"lowest price is ARS$ 16,99 at -90%",7 days ago,2 hours,https://www.steamcardexchange.net/index.php?gamepage-appid-439310,https://store.steampowered.com/app/439310
365450,Hacknet,25.99,-80%,,,,,,,,,,Weeklong Deals,"lowest price is ARS$ 19,49 at -85%",7 days ago,2 hours,https://www.steamcardexchange.net/index.php?gamepage-appid-365450,https://store.steampowered.com/app/365450
507010,Mr.President!,25.99,-80%,,,,,,,,,,X,"lowest price is ARS$ 12,99 at -90%",4 days ago,9 days,https://www.steamcardexchange.net/index.php?gamepage-appid-507010,https://store.steampowered.com/app/507010
684580,Shoppe Keep 2 - Online co-op open world first person resource management RPG,25.99,-80%,,,,,,,,,,X,new highest discount,6 days ago,1 day,https://www.steamcardexchange.net/index.php?gamepage-appid-684580,https://store.steampowered.com/app/684580
